Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-05,,
Horizontal Delay,0.0007572,,
Sample Interval,4e-07,,
Record Length,1000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.2,,
Vertical Position,0,,
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
6.208e-04,-0.00809375,0.0127094,-0.00442188
6.212e-04,-0.008125,0.0127516,-0.00442188
6.216e-04,-0.0085625,0.0126328,-0.00479687
6.220e-04,-0.008375,0.0125328,-0.00476562
6.224e-04,-0.00790625,0.0125703,-0.00471875
6.228e-04,-0.0091875,0.0126219,-0.00460937
6.232e-04,-0.0089375,0.0124594,-0.00435938
6.236e-04,-0.00840625,0.0125156,-0.00425
6.240e-04,-0.0078125,0.0125141,-0.00429688
6.244e-04,-0.00784375,0.012575,-0.00464062
6.248e-04,-0.00865625,0.0124875,-0.00471875
6.252e-04,-0.00878125,0.0123438,-0.00479687
6.256e-04,-0.0081875,0.0122031,-0.00467187
6.260e-04,-0.00740625,0.0123516,-0.00426563
6.264e-04,-0.00771875,0.0122516,-0.00454687
6.268e-04,-0.0088125,0.0121828,-0.00459375
6.272e-04,-0.00828125,0.0123078,-0.00457812
6.276e-04,-0.008375,0.0122766,-0.00459375
6.280e-04,-0.00840625,0.0121203,-0.00482812
6.284e-04,-0.00921875,0.0121516,-0.0046875
6.288e-04,-0.0083125,0.0120734,-0.00490625
6.292e-04,-0.00790625,0.0121453,-0.00442188
6.296e-04,-0.007875,0.0120375,-0.00421875
6.300e-04,-0.00825,0.0119688,-0.0048125
6.304e-04,-0.00765625,0.0119438,-0.00440625
6.308e-04,-0.0088125,0.0119844,-0.00504688
6.312e-04,-0.00828125,0.0119109,-0.00454687
6.316e-04,-0.007125,0.0118531,-0.00420313
6.320e-04,-0.009125,0.0118406,-0.00498438
6.324e-04,-0.00896875,0.0119219,-0.004375
6.328e-04,-0.00903125,0.0117969,-0.00478125
6.332e-04,-0.00884375,0.0118344,-0.00464062
6.336e-04,-0.0076875,0.0118422,-0.00464062
6.340e-04,-0.0084375,0.0118047,-0.004375
6.344e-04,-0.00825,0.0117922,-0.00457812
6.348e-04,-0.00884375,0.0116266,-0.00475
6.352e-04,-0.00825,0.0117563,-0.00484375
6.356e-04,-0.0089375,0.0116641,-0.00457812
6.360e-04,-0.00875,0.0116813,-0.0041875
6.364e-04,-0.008125,0.0116719,-0.00421875
6.368e-04,-0.00815625,0.0115875,-0.004375
6.372e-04,-0.008625,0.0115547,-0.00467187
6.376e-04,-0.00934375,0.0116266,-0.00470312
6.380e-04,-0.0089375,0.0114375,-0.00492188
6.384e-04,-0.008625,0.0114891,-0.00467187
6.388e-04,-0.007375,0.0114766,-0.00401563
6.392e-04,-0.0084375,0.0114563,-0.00448438
6.396e-04,-0.009,0.0113906,-0.00489063
6.400e-04,-0.00890625,0.0114266,-0.00478125
6.404e-04,-0.00875,0.0112297,-0.00453125
6.408e-04,-0.008,0.0112641,-0.00464062
6.412e-04,-0.00865625,0.0112891,-0.00478125
6.416e-04,-0.00846875,0.0112844,-0.0048125
6.420e-04,-0.008125,0.0112609,-0.00434375
6.424e-04,-0.00765625,0.0112922,-0.00470312
6.428e-04,-0.00875,0.0112672,-0.00467187
6.432e-04,-0.0085,0.0111781,-0.0045
6.436e-04,-0.00903125,0.0111141,-0.00498438
6.440e-04,-0.00884375,0.0110172,-0.00492188
6.444e-04,-0.007375,0.0109844,-0.00382812
6.448e-04,-0.008875,0.0109859,-0.0051875
6.452e-04,-0.00896875,0.0109469,-0.00470312
6.456e-04,-0.0090625,0.011025,-0.00473437
6.460e-04,-0.00909375,0.0109594,-0.00457812
6.464e-04,-0.00878125,0.0109641,-0.00442188
6.468e-04,-0.008875,0.0108687,-0.00439063
6.472e-04,-0.0085625,0.0108953,-0.0044375
6.476e-04,-0.0086875,0.0109516,-0.00453125
6.480e-04,-0.00775,0.0108797,-0.00457812
6.484e-04,-0.00871875,0.0108328,-0.00490625
6.488e-04,-0.0089375,0.010825,-0.00440625
6.492e-04,-0.00865625,0.0108109,-0.00434375
6.496e-04,-0.00840625,0.0107875,-0.00489063
6.500e-04,-0.008125,0.0106828,-0.00425
6.504e-04,-0.00921875,0.0105891,-0.004875
6.508e-04,-0.008875,0.0106,-0.00489063
6.512e-04,-0.00871875,0.0106469,-0.00440625
6.516e-04,-0.007,0.0107094,-0.00417188
6.520e-04,-0.007625,0.0106063,-0.0048125
6.524e-04,-0.00871875,0.0105594,-0.0046875
6.528e-04,-0.00865625,0.0104281,-0.004625
6.532e-04,-0.0084375,0.0104938,-0.00448438
6.536e-04,-0.0084375,0.0105438,-0.00465625
6.540e-04,-0.0095,0.0104609,-0.00476562
6.544e-04,-0.0085,0.0105234,-0.00501563
6.548e-04,-0.0079375,0.0105891,-0.00451562
6.552e-04,-0.00840625,0.0103703,-0.00482812
6.556e-04,-0.00815625,0.0103375,-0.00514063
6.560e-04,-0.0086875,0.0104297,-0.00467187
6.564e-04,-0.00853125,0.0103547,-0.00470312
6.568e-04,-0.0084375,0.0104781,-0.00445313
6.572e-04,-0.0073125,0.0101813,-0.004125
6.576e-04,-0.00909375,0.010225,-0.00498438
6.580e-04,-0.00875,0.0103156,-0.004625
6.584e-04,-0.0086875,0.0102234,-0.00490625
6.588e-04,-0.00890625,0.0102672,-0.0044375
6.592e-04,-0.00803125,0.0102063,-0.00426563
6.596e-04,-0.00828125,0.00990781,-0.00421875
6.600e-04,-0.00915625,0.0100547,-0.0045
6.604e-04,-0.00909375,0.0100578,-0.0045625
6.608e-04,-0.007875,0.0101047,-0.00421875
6.612e-04,-0.00846875,0.0100125,-0.00470312
6.616e-04,-0.00803125,0.00999063,-0.00429688
6.620e-04,-0.007625,0.0100859,-0.00421875
6.624e-04,-0.00821875,0.00978594,-0.00453125
6.628e-04,-0.00771875,0.00986875,-0.00471875
6.632e-04,-0.00975,0.00998594,-0.005
6.636e-04,-0.00853125,0.00996094,-0.004625
6.640e-04,-0.00859375,0.0098375,-0.00465625
6.644e-04,-0.00771875,0.0100016,-0.00442188
6.648e-04,-0.008625,0.00983281,-0.00451562
6.652e-04,-0.00925,0.00982188,-0.00453125
6.656e-04,-0.00846875,0.00970312,-0.00459375
6.660e-04,-0.00875,0.0096875,-0.00459375
6.664e-04,-0.0075625,0.00971563,-0.00484375
6.668e-04,-0.01,0.00970156,-0.0049375
6.672e-04,-0.0084375,0.00964219,-0.00495313
6.676e-04,-0.007875,0.00965156,-0.00425
6.680e-04,-0.00778125,0.00959375,-0.00476562
6.684e-04,-0.0079375,0.00960781,-0.0046875
