Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.0002,,,,Horizontal Scale,0.0002
Horizontal Delay,0.0002,,,,Horizontal Delay,0.0002
Sample Interval,2e-06,,,,Sample Interval,2e-06
Record Length,1000,,,,Record Length,1000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,,Probe Attenuation,1
Vertical Units,V,,,,Vertical Units,V/s
Vertical Offset,0,,,,Vertical Offset,0
Vertical Scale,0.01,,,,Vertical Scale,100
Vertical Position,0,,,,Vertical Position,0
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH2,CH3,CH4,,TIME,"MATH<DIFF(CH3)-DIFF(CH2)>"
-5.560e-04,0.00564375,0.00793906,-0.000307813,,-5.560e-04,34.375
-5.540e-04,0.0056375,0.007825,-0.000295313,,-5.540e-04,-53.9062
-5.520e-04,0.00559688,0.00787344,-0.000289063,,-5.520e-04,44.5156
-5.500e-04,0.00556875,0.00787656,-0.0003,,-5.500e-04,15.625
-5.480e-04,0.00556875,0.00775,-0.0002875,,-5.480e-04,-63.2656
-5.460e-04,0.0055375,0.00763281,-0.0003,,-5.460e-04,-42.9688
-5.440e-04,0.00551563,0.00743906,-0.0003125,,-5.440e-04,-85.9375
-5.420e-04,0.00549531,0.00745469,-0.000301563,,-5.420e-04,17.9688
-5.400e-04,0.0055,0.00749531,-0.0002875,,-5.400e-04,17.9531
-5.380e-04,0.005475,0.00744688,-0.000276563,,-5.380e-04,-11.7031
-5.360e-04,0.00545156,0.00752813,-0.000275,,-5.360e-04,52.3281
-5.340e-04,0.00541563,0.00745938,-0.00026875,,-5.340e-04,-16.3906
-5.320e-04,0.00541406,0.00740469,-0.000275,,-5.320e-04,-26.5625
-5.300e-04,0.00535469,0.00733281,-0.000301563,,-5.300e-04,-6.25
-5.280e-04,0.00534531,0.00727656,-0.000315625,,-5.280e-04,-23.4219
-5.260e-04,0.00533438,0.00724219,-0.000279687,,-5.260e-04,-11.7188
-5.240e-04,0.00530937,0.00735625,-0.000276563,,-5.240e-04,69.5156
-5.220e-04,0.00528594,0.00739063,-0.000271875,,-5.220e-04,28.9062
-5.200e-04,0.00527656,0.00729219,-0.0003,,-5.200e-04,-44.5312
-5.180e-04,0.00522813,0.00727656,-0.0003,,-5.180e-04,16.4062
-5.160e-04,0.00520781,0.00710938,-0.000307813,,-5.160e-04,-73.4219
-5.140e-04,0.00519219,0.00710625,-0.000279687,,-5.140e-04,6.23438
-5.120e-04,0.00517656,0.00700781,-0.000284375,,-5.120e-04,-41.4062
-5.100e-04,0.0051625,0.0069375,-0.000271875,,-5.100e-04,-28.1094
-5.080e-04,0.00515,0.00693438,-0.000304687,,-5.080e-04,4.67188
-5.060e-04,0.00511563,0.00692188,-0.000292188,,-5.060e-04,10.9375
-5.040e-04,0.00508594,0.0069875,-0.000304687,,-5.040e-04,47.6406
-5.020e-04,0.00508594,0.00678438,-0.000276563,,-5.020e-04,-101.547
-5.000e-04,0.00656094,0.00710938,-0.000279687,,-5.000e-04, -inf
-4.980e-04,0.00697031,0.00694219,-0.00025625,,-4.980e-04,-288.266
-4.960e-04,0.007275,0.00692656,-0.0002875,,-4.960e-04,-160.156
-4.940e-04,0.00758906,0.0070125,-0.000317188,,-4.940e-04,-114.047
-4.920e-04,0.00788906,0.0069875,-0.000289063,,-4.920e-04,-162.5
-4.900e-04,0.0081625,0.00719844,-0.000295313,,-4.900e-04,-31.2344
-4.880e-04,0.00843281,0.00719531,-0.000259375,,-4.880e-04,-136.703
-4.860e-04,0.008725,0.00715313,-0.000276563,,-4.860e-04,-167.188
-4.840e-04,0.00897812,0.00716094,-0.00026875,,-4.840e-04,-122.656
-4.820e-04,0.00921719,0.00707188,-0.000259375,,-4.820e-04,-164.047
-4.800e-04,0.00945,0.00705625,-0.000275,,-4.800e-04,-124.203
-4.780e-04,0.00971406,0.00690625,-0.000296875,,-4.780e-04,-207.031
-4.760e-04,0.00996875,0.00697188,-0.000289063,,-4.760e-04,-94.5312
-4.740e-04,0.0101844,0.00688125,-0.000264063,,-4.740e-04,-153.125
-4.720e-04,0.0104313,0.0068125,-0.000276563,,-4.720e-04,-157.812
-4.700e-04,0.010675,0.00688125,-0.000259375,,-4.700e-04,-87.5
-4.680e-04,0.0108922,0.00682812,-0.000275,,-4.680e-04,-135.141
-4.660e-04,0.0111422,0.00665469,-0.000301563,,-4.660e-04,-211.719
-4.640e-04,0.0113625,0.00672344,-0.000284375,,-4.640e-04,-75.7656
-4.620e-04,0.0115656,0.0066625,-0.000271875,,-4.620e-04,-132.031
-4.600e-04,0.0117719,0.00674688,-0.000276563,,-4.600e-04,-60.9375
-4.580e-04,0.0119594,0.00674375,-0.0002875,,-4.580e-04,-95.2969
-4.560e-04,0.0121641,0.00685313,-0.000275,,-4.560e-04,-47.6562
-4.540e-04,0.0123703,0.00690938,-0.000329688,,-4.540e-04,-74.9844
-4.520e-04,0.0125375,0.00686563,-0.000315625,,-4.520e-04,-105.453
-4.500e-04,0.0127031,0.00685781,-0.000307813,,-4.500e-04,-86.7031
-4.480e-04,0.0128984,0.00691406,-0.000289063,,-4.480e-04,-69.5312
-4.460e-04,0.0130719,0.007,-0.00028125,,-4.460e-04,-43.7344
-4.440e-04,0.0132547,0.00703125,-0.00026875,,-4.440e-04,-75.7812
-4.420e-04,0.01345,0.00705156,-0.00025625,,-4.420e-04,-87.4844
-4.400e-04,0.0135937,0.00706563,-0.000275,,-4.400e-04,-64.8438
-4.380e-04,0.0137922,0.0071625,-0.000259375,,-4.380e-04,-50.7656
-4.360e-04,0.0139547,0.00702813,-0.00028125,,-4.360e-04,-148.438
-4.340e-04,0.0141328,0.00697812,-0.00025625,,-4.340e-04,-114.062
-4.320e-04,0.0142969,0.00703125,-0.000259375,,-4.320e-04,-55.4531
-4.300e-04,0.0144656,0.00712031,-0.000276563,,-4.300e-04,-39.8281
-4.280e-04,0.0146484,0.00711406,-0.00026875,,-4.280e-04,-94.5312
-4.260e-04,0.0147922,0.00705156,-0.000292188,,-4.260e-04,-103.109
-4.240e-04,0.0149734,0.0071,-0.000307813,,-4.240e-04,-66.4062
-4.220e-04,0.015125,0.00714688,-0.0003,,-4.220e-04,-52.3281
-4.200e-04,0.0152797,0.00712188,-0.000289063,,-4.200e-04,-89.8438
-4.180e-04,0.0154344,0.007175,-0.00026875,,-4.180e-04,-50.7656
-4.160e-04,0.0155953,0.0071375,-0.000275,,-4.160e-04,-99.2188
-4.140e-04,0.0157328,0.00719531,-0.000275,,-4.140e-04,-39.8281
-4.120e-04,0.0158844,0.00723594,-0.000296875,,-4.120e-04,-55.4688
-4.100e-04,0.0160422,0.00737031,-0.000309375,,-4.100e-04,-11.7188
-4.080e-04,0.0161766,0.00760938,-0.000301563,,-4.080e-04,52.3281
-4.060e-04,0.0163156,0.00759688,-0.000264063,,-4.060e-04,-75.7656
-4.040e-04,0.0164688,0.00751875,-0.000234375,,-4.040e-04,-115.625
-4.020e-04,0.0165906,0.00757656,-0.000228125,,-4.020e-04,-32.0312
-4.000e-04,0.0167328,0.00765313,-0.000246875,,-4.000e-04,-32.7969
-3.980e-04,0.0168547,0.00771406,-0.000292188,,-3.980e-04,-30.4688
-3.960e-04,0.0169922,0.00764844,-0.00028125,,-3.960e-04,-101.562
-3.940e-04,0.0171062,0.00767344,-0.000289063,,-3.940e-04,-44.5156
-3.920e-04,0.0172422,0.00775156,-0.000276563,,-3.920e-04,-28.9062
-3.900e-04,0.0173719,0.00785313,-0.000284375,,-3.900e-04,-14.0625
-3.880e-04,0.0175016,0.007775,-0.000279687,,-3.880e-04,-103.891
-3.860e-04,0.0176344,0.00777188,-0.000292188,,-3.860e-04,-67.9531
-3.840e-04,0.0177438,0.00769375,-0.000307813,,-3.840e-04,-93.7344
-3.820e-04,0.0178875,0.00777969,-0.000315625,,-3.820e-04,-28.9062
-3.800e-04,0.0179922,0.00782813,-0.000304687,,-3.800e-04,-28.125
-3.780e-04,0.0181141,0.00793281,-0.00028125,,-3.780e-04,-8.57812
-3.760e-04,0.0182156,0.00800625,-0.000275,,-3.760e-04,-14.0469
-3.740e-04,0.0183266,0.00806719,-0.0002875,,-3.740e-04,-25
-3.720e-04,0.0184312,0.00804063,-0.000307813,,-3.720e-04,-65.625
-3.700e-04,0.0185297,0.00810469,-0.000307813,,-3.700e-04,-17.1719
-3.680e-04,0.01865,0.00815,-0.000289063,,-3.680e-04,-37.5
-3.660e-04,0.0187391,0.00827813,-0.00026875,,-3.660e-04,19.5156
-3.640e-04,0.0188672,0.00836406,-0.000267188,,-3.640e-04,-21.0938
-3.620e-04,0.0189719,0.00840625,-0.000279687,,-3.620e-04,-31.2344
-3.600e-04,0.0190375,0.00842969,-0.0002875,,-3.600e-04,-21.0938
-3.580e-04,0.0191266,0.00852656,-0.000301563,,-3.580e-04,3.90625
