Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,0.0007592,
Sample Interval,4e-07,
Record Length,1000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH2,CH3
7.052e-04,-0.0089375,0.00763594
7.056e-04,-0.0084375,0.00754844
7.060e-04,-0.00878125,0.00750625
7.064e-04,-0.0085,0.00756406
7.068e-04,-0.00865625,0.00743125
7.072e-04,-0.00978125,0.00752813
7.076e-04,-0.00896875,0.00755625
7.080e-04,-0.00853125,0.00752188
7.084e-04,-0.0079375,0.00741563
7.088e-04,-0.00815625,0.00745781
7.092e-04,-0.008375,0.00744688
7.096e-04,-0.0085625,0.0073625
7.100e-04,-0.0086875,0.00729375
7.104e-04,-0.0073125,0.00748281
7.108e-04,-0.0100625,0.00740469
7.112e-04,-0.00865625,0.00729219
7.116e-04,-0.0094375,0.00739688
7.120e-04,-0.0091875,0.00736563
7.124e-04,-0.0081875,0.00745625
7.128e-04,-0.0085,0.0073125
7.132e-04,-0.00834375,0.00733125
7.136e-04,-0.0093125,0.00730156
7.140e-04,-0.008,0.007275
7.144e-04,-0.0095625,0.00726875
7.148e-04,-0.00875,0.00725938
7.152e-04,-0.00778125,0.00724219
7.156e-04,-0.00778125,0.00717344
7.160e-04,-0.00878125,0.0072625
7.164e-04,-0.00915625,0.00704688
7.168e-04,-0.00928125,0.00709844
7.172e-04,-0.00925,0.00705469
7.176e-04,-0.00709375,0.00717188
7.180e-04,-0.009375,0.00705781
7.184e-04,-0.00896875,0.00709688
7.188e-04,-0.009625,0.00710938
7.192e-04,-0.00884375,0.00710625
7.196e-04,-0.00853125,0.0070875
7.200e-04,-0.00975,0.00675781
7.204e-04,-0.008875,0.007025
7.208e-04,-0.008125,0.00697344
7.212e-04,-0.00796875,0.00691563
7.216e-04,-0.008125,0.0069125
7.220e-04,-0.00871875,0.00677969
7.224e-04,-0.00921875,0.00693281
7.228e-04,-0.0085625,0.00693281
7.232e-04,-0.0074375,0.00685
7.236e-04,-0.01025,0.00688125
7.240e-04,-0.00925,0.00677188
7.244e-04,-0.009125,0.00674063
7.248e-04,-0.0088125,0.00686719
7.252e-04,-0.00846875,0.00673594
7.256e-04,-0.00834375,0.00682188
7.260e-04,-0.00934375,0.00667031
7.264e-04,-0.00953125,0.00667813
7.268e-04,-0.00696875,0.00685
7.272e-04,-0.00915625,0.00670625
7.276e-04,-0.00865625,0.00674688
7.280e-04,-0.00853125,0.00664063
7.284e-04,-0.00865625,0.00652969
7.288e-04,-0.0076875,0.00667969
7.292e-04,-0.0084375,0.00665156
7.296e-04,-0.0095625,0.00660625
7.300e-04,-0.0093125,0.00669844
7.304e-04,-0.00678125,0.00657813
7.308e-04,-0.0078125,0.0064375
7.312e-04,-0.0090625,0.00663125
7.316e-04,-0.0085,0.00646719
7.320e-04,-0.00921875,0.00663906
7.324e-04,-0.00825,0.00651406
7.328e-04,-0.00915625,0.00651563
7.332e-04,-0.009125,0.00654844
7.336e-04,-0.00871875,0.00640938
7.340e-04,-0.00871875,0.00623281
7.344e-04,-0.008875,0.00647969
7.348e-04,-0.00896875,0.0064125
7.352e-04,-0.00903125,0.00634375
7.356e-04,-0.0086875,0.00645625
7.360e-04,-0.00765625,0.00639375
7.364e-04,-0.00953125,0.00632188
7.368e-04,-0.00853125,0.00633594
7.372e-04,-0.009,0.00618906
7.376e-04,-0.0086875,0.00618906
7.380e-04,-0.00840625,0.00626875
7.384e-04,-0.008875,0.006275
7.388e-04,-0.0080625,0.00629688
7.392e-04,-0.00959375,0.00616875
7.396e-04,-0.0081875,0.00628594
7.400e-04,-0.00875,0.00617344
7.404e-04,-0.00778125,0.00623594
7.408e-04,-0.00840625,0.00618906
7.412e-04,-0.00846875,0.00604375
7.416e-04,-0.00803125,0.00613906
7.420e-04,-0.0095,0.00612969
7.424e-04,-0.00890625,0.00615313
7.428e-04,-0.00859375,0.00598438
7.432e-04,-0.00690625,0.00610625
7.436e-04,-0.00796875,0.00608906
7.440e-04,-0.008125,0.00602188
7.444e-04,-0.00878125,0.00592813
7.448e-04,-0.00896875,0.006025
7.452e-04,-0.00815625,0.00605156
7.456e-04,-0.0094375,0.00594687
7.460e-04,-0.0091875,0.0059125
7.464e-04,-0.00753125,0.00604688
7.468e-04,-0.00828125,0.00587188
7.472e-04,-0.00884375,0.00576875
7.476e-04,-0.00865625,0.00594219
7.480e-04,-0.00865625,0.00592813
7.484e-04,-0.00871875,0.00590469
7.488e-04,-0.00765625,0.00583281
7.492e-04,-0.0099375,0.00582969
7.496e-04,-0.009375,0.00591094
7.500e-04,-0.00940625,0.00584531
7.504e-04,-0.00903125,0.00593906
7.508e-04,-0.008125,0.00591406
7.512e-04,-0.00875,0.00570156
7.516e-04,-0.00890625,0.00573281
7.520e-04,-0.00884375,0.00581875
7.524e-04,-0.0079375,0.00567656
7.528e-04,-0.00940625,0.00580156
7.532e-04,-0.00853125,0.00569688
7.536e-04,-0.00859375,0.00572344
7.540e-04,-0.00871875,0.00552187
7.544e-04,-0.00846875,0.00572031
7.548e-04,-0.00809375,0.00567188
7.552e-04,-0.00946875,0.00561875
7.556e-04,-0.008625,0.00547188
7.560e-04,-0.00771875,0.00577969
7.564e-04,-0.0083125,0.00561875
7.568e-04,-0.00803125,0.00558906
7.572e-04,-0.00940625,0.00552187
7.576e-04,-0.0089375,0.005575
7.580e-04,-0.008,0.00562344
7.584e-04,-0.00946875,0.00565469
7.588e-04,-0.00953125,0.00551719
7.592e-04,-0.00821875,0.00552813
7.596e-04,-0.0081875,0.00555156
7.600e-04,-0.0085,0.00556094
7.604e-04,-0.008875,0.0055
7.608e-04,-0.00859375,0.00543906
7.612e-04,-0.00925,0.00559219
7.616e-04,-0.00771875,0.00547813
7.620e-04,-0.0093125,0.00544219
7.624e-04,-0.0094375,0.00544063
7.628e-04,-0.00959375,0.0054375
7.632e-04,-0.0086875,0.00541094
7.636e-04,-0.0085625,0.005425
7.640e-04,-0.00909375,0.0053875
7.644e-04,-0.00878125,0.00537344
7.648e-04,-0.009,0.0053
7.652e-04,-0.00821875,0.00524844
7.656e-04,-0.009125,0.00544531
7.660e-04,-0.00803125,0.00528906
7.664e-04,-0.0086875,0.00525625
7.668e-04,-0.00925,0.00514688
7.672e-04,-0.00809375,0.00537187
7.676e-04,-0.00940625,0.00526094
7.680e-04,-0.0095,0.00522344
7.684e-04,-0.0089375,0.00513281
7.688e-04,-0.00753125,0.00518906
7.692e-04,-0.00815625,0.00519375
7.696e-04,-0.00846875,0.005175
7.700e-04,-0.0093125,0.00510313
7.704e-04,-0.0088125,0.0052125
7.708e-04,-0.00815625,0.00520313
7.712e-04,-0.00925,0.00497031
7.716e-04,-0.00928125,0.00522813
7.720e-04,-0.00925,0.00519062
7.724e-04,-0.00846875,0.00514844
7.728e-04,-0.008375,0.00515313
7.732e-04,-0.00840625,0.00515625
7.736e-04,-0.008875,0.00513125
7.740e-04,-0.00834375,0.00501563
7.744e-04,-0.00784375,0.00529219
7.748e-04,-0.00984375,0.00507813
7.752e-04,-0.00840625,0.00504844
7.756e-04,-0.0095625,0.0050625
7.760e-04,-0.00921875,0.0051375
7.764e-04,-0.0084375,0.00491094
7.768e-04,-0.00859375,0.00497188
7.772e-04,-0.00903125,0.004975
7.776e-04,-0.00875,0.00491094
7.780e-04,-0.00740625,0.00504062
7.784e-04,-0.00865625,0.00476562
7.788e-04,-0.00871875,0.0050125
7.792e-04,-0.00853125,0.00481094
7.796e-04,-0.009,0.00487031
7.800e-04,-0.008125,0.00494531
7.804e-04,-0.0086875,0.00498438
7.808e-04,-0.009625,0.00477344
7.812e-04,-0.009125,0.00480313
7.816e-04,-0.00775,0.00494219
7.820e-04,-0.008375,0.00482031
7.824e-04,-0.008875,0.00484375
7.828e-04,-0.009375,0.00469688
7.832e-04,-0.00915625,0.00472969
7.836e-04,-0.00790625,0.00479531
7.840e-04,-0.00965625,0.0048375
7.844e-04,-0.00921875,0.00464687
7.848e-04,-0.00859375,0.00468438
7.852e-04,-0.00853125,0.00464219
7.856e-04,-0.00878125,0.00468281
7.860e-04,-0.0085,0.00472656
7.864e-04,-0.00890625,0.00464844
7.868e-04,-0.00878125,0.00469219
7.872e-04,-0.00825,0.00475
7.876e-04,-0.0096875,0.00456406
7.880e-04,-0.008375,0.00472344
7.884e-04,-0.00940625,0.00473906
7.888e-04,-0.00928125,0.00463125
7.892e-04,-0.00815625,0.00464531
7.896e-04,-0.00875,0.00467344
7.900e-04,-0.0078125,0.00466094
7.904e-04,-0.0089375,0.00463281
7.908e-04,-0.00746875,0.00459375
7.912e-04,-0.0093125,0.00438125
7.916e-04,-0.00846875,0.00450469
7.920e-04,-0.0085,0.00450313
7.924e-04,-0.0093125,0.00453438
7.928e-04,-0.00784375,0.00450781
7.932e-04,-0.0085625,0.00443281
7.936e-04,-0.009375,0.00457344
7.940e-04,-0.00903125,0.00440938
7.944e-04,-0.00728125,0.00458437
7.948e-04,-0.008375,0.00438906
7.952e-04,-0.00821875,0.00429219
7.956e-04,-0.0089375,0.0043875
7.960e-04,-0.00896875,0.00446719
7.964e-04,-0.00796875,0.00432656
7.968e-04,-0.00915625,0.00444531
7.972e-04,-0.00984375,0.00437031
7.976e-04,-0.0085625,0.00438281
7.980e-04,-0.008625,0.00436406
7.984e-04,-0.0081875,0.00442344
7.988e-04,-0.00853125,0.00446719
7.992e-04,-0.00940625,0.00425781
7.996e-04,-0.008625,0.00437031
8.000e-04,-0.008875,0.00444531
8.004e-04,-0.0094375,0.00415937
8.008e-04,-0.00796875,0.00441094
8.012e-04,-0.0086875,0.00434375
8.016e-04,-0.00865625,0.00417031
8.020e-04,-0.0086875,0.00426406
8.024e-04,-0.00878125,0.0042625
8.028e-04,-0.0080625,0.00426094
8.032e-04,-0.00890625,0.00419219
8.036e-04,-0.00728125,0.00417813
8.040e-04,-0.0094375,0.0041375
8.044e-04,-0.008,0.00429531
8.048e-04,-0.00840625,0.00414688
8.052e-04,-0.00890625,0.00428594
8.056e-04,-0.00809375,0.00416094
8.060e-04,-0.00846875,0.00413594
8.064e-04,-0.009125,0.00421094
8.068e-04,-0.0086875,0.00429219
8.072e-04,-0.00871875,0.00418125
8.076e-04,-0.0085625,0.00406562
8.080e-04,-0.00825,0.00414219
8.084e-04,-0.00928125,0.00399531
8.088e-04,-0.00896875,0.00417813
8.092e-04,-0.0084375,0.00400469
8.096e-04,-0.00984375,0.00399063
8.100e-04,-0.008875,0.00416406
8.104e-04,-0.0090625,0.00413594
8.108e-04,-0.008,0.00406875
8.112e-04,-0.00953125,0.0041125
8.116e-04,-0.00859375,0.0041625
8.120e-04,-0.00859375,0.00385313
8.124e-04,-0.00784375,0.00397031
8.128e-04,-0.007375,0.00402344
8.132e-04,-0.00959375,0.00385313
8.136e-04,-0.00834375,0.00395625
8.140e-04,-0.00959375,0.00398906
8.144e-04,-0.00878125,0.00393281
8.148e-04,-0.00828125,0.00404375
8.152e-04,-0.00865625,0.00389531
8.156e-04,-0.00828125,0.00407656
8.160e-04,-0.00859375,0.00389375
8.164e-04,-0.0076875,0.00389531
8.168e-04,-0.00934375,0.00383281
8.172e-04,-0.00865625,0.00392031
8.176e-04,-0.008375,0.00391875
8.180e-04,-0.0083125,0.00401094
8.184e-04,-0.0080625,0.00389531
8.188e-04,-0.00878125,0.00374063
8.192e-04,-0.0099375,0.00382031
8.196e-04,-0.00928125,0.00372969
8.200e-04,-0.007625,0.0038125
8.204e-04,-0.008625,0.00387031
8.208e-04,-0.0081875,0.00385625
8.212e-04,-0.00878125,0.00388594
8.216e-04,-0.00896875,0.00391719
8.220e-04,-0.008125,0.00369688
8.224e-04,-0.00903125,0.00372813
8.228e-04,-0.0089375,0.00391406
8.232e-04,-0.0088125,0.00366875
8.236e-04,-0.00890625,0.00377813
8.240e-04,-0.00828125,0.00378125
8.244e-04,-0.0085625,0.00385469
8.248e-04,-0.009375,0.00368438
8.252e-04,-0.00940625,0.00386719
8.256e-04,-0.0081875,0.00364375
8.260e-04,-0.00946875,0.0036
8.264e-04,-0.008625,0.00374844
8.268e-04,-0.00909375,0.00359844
8.272e-04,-0.0088125,0.0036625
8.276e-04,-0.00821875,0.00364219
8.280e-04,-0.00921875,0.00357813
8.284e-04,-0.00878125,0.00364063
8.288e-04,-0.0085,0.00367969
8.292e-04,-0.0081875,0.0036375
8.296e-04,-0.00925,0.00363125
8.300e-04,-0.0085625,0.00359063
8.304e-04,-0.0085,0.00362188
8.308e-04,-0.0095,0.00351563
