Stimulus (mV),Current (mA),,,,,,,,
-381.9780273,-0.000165939,,,,,,,,
-332.014679,-0.000167345,,,,,,,,
-380.9035645,-0.000165001,,,,,,,,
-330.9401855,-0.000166876,,,,,,,,
-379.829071,-0.000165939,,,,,,,,
-329.8657227,-0.000168282,,,,,,,,
-378.7546082,-0.000165939,,,,,,,,
-328.7912292,-0.00016922,,,,,,,,
-377.6801147,-0.000166407,,,,,,,,
-327.7167358,-0.000168751,,,,,,,,
-377.1428833,-0.000166407,,,,,,,,
-327.1795044,-0.000167814,,,,,,,,
-376.0683899,-0.000166876,,,,,,,,
-326.1050415,-0.000168282,,,,,,,,
-374.993927,-0.000166876,,,,,,,,
-325.0305481,-0.000168282,,,,,,,,
-373.9194336,-0.000166407,,,,,,,,
-323.9560547,-0.00016922,,,,,,,,
-372.8449707,-0.000166876,,,,,,,,
-322.8815918,-0.000169689,,,,,,,,
-371.7704773,-0.000167814,,,,,,,,
-321.8070984,-0.000168751,,,,,,,,
-370.6959839,-0.000168751,,,,,,,,
-320.732605,-0.000169689,,,,,,,,
-370.1587524,-0.000168282,,,,,,,,
-320.1953735,-0.000168751,,,,,,,,
-369.0842896,-0.000167814,,,,,,,,
-319.1209106,-0.000168751,,,,,,,,
-368.0097961,-0.000168751,,,,,,,,
-318.0464172,-0.000170157,,,,,,,,
-366.9353027,-0.000169689,,,,,,,,
-316.9719238,-0.000170157,,,,,,,,
-365.8608398,-0.000168282,,,,,,,,
-315.8974609,-0.000172032,,,,,,,,
-364.7863464,-0.000169689,,,,,,,,
-314.8229675,-0.000169689,,,,,,,,
-363.711853,-0.00016922,,,,,,,,
-313.7484741,-0.000170157,,,,,,,,
-362.6373901,-0.000168751,,,,,,,,
-312.6740112,-0.000169689,,,,,,,,
-362.1001587,-0.000169689,,,,,,,,
-312.1367798,-0.000171564,,,,,,,,
-361.0256653,-0.000170157,,,,,,,,
-311.0622864,-0.000171564,,,,,,,,
-359.9511719,-0.000170626,,,,,,,,
-309.987793,-0.000170626,,,,,,,,
-358.876709,-0.000169689,,,,,,,,
-308.9133301,-0.000172032,,,,,,,,
-357.8022156,-0.000170157,,,,,,,,
-307.8388672,-0.000171564,,,,,,,,
-356.7277222,-0.000171095,,,,,,,,
-306.7643433,-0.000171564,,,,,,,,
-355.6532593,-0.000170157,,,,,,,,
-305.6898804,-0.000172501,,,,,,,,
-355.1160278,-0.000171095,,,,,,,,
-305.1526489,-0.00017297,,,,,,,,
-354.0415344,-0.000170157,,,,,,,,
-304.0781555,-0.000172032,,,,,,,,
-352.967041,-0.000170157,,,,,,,,
-303.0036621,-0.000173907,,,,,,,,
-351.8925781,-0.000171564,,,,,,,,
-301.9291992,-0.000172501,,,,,,,,
-350.8180847,-0.000172032,,,,,,,,
-300.8547363,-0.000172501,,,,,,,,
-349.7435913,-0.000172032,,,,,,,,
-299.7802429,-0.00017297,,,,,,,,
-348.6691284,-0.000171095,,,,,,,,
-298.7057495,-0.00017297,,,,,,,,
-348.131897,-0.000172501,,,,,,,,
-298.1685181,-0.000174845,,,,,,,,
-347.0574036,-0.000172032,,,,,,,,
-297.0940552,-0.000173439,,,,,,,,
-345.9829102,-0.000172032,,,,,,,,
-296.0195313,-0.000173907,,,,,,,,
-344.9084473,-0.000172032,,,,,,,,
-294.9450684,-0.000173439,,,,,,,,
-343.8339844,-0.000173439,,,,,,,,
-293.8706055,-0.000173907,,,,,,,,
-342.7594604,-0.00017297,,,,,,,,
-292.7961121,-0.000173907,,,,,,,,
-341.6849976,-0.00017297,,,,,,,,
-291.7216187,-0.000173439,,,,,,,,
-341.1477661,-0.00017297,,,,,,,,
-291.1843872,-0.000174376,,,,,,,,
-340.0732727,-0.000172501,,,,,,,,
-290.1099243,-0.000173907,,,,,,,,
-338.9987793,-0.000174376,,,,,,,,
-289.0354309,-0.000174845,,,,,,,,
-337.9243164,-0.00017297,,,,,,,,
-287.9609375,-0.000175314,,,,,,,,
-336.8498535,-0.000174376,,,,,,,,
-286.8864746,-0.000173907,,,,,,,,
-335.7753601,-0.00017297,,,,,,,,
-285.8119812,-0.000176251,,,,,,,,
-334.7008667,-0.000173907,,,,,,,,
-284.7374878,-0.000176251,,,,,,,,
-334.1636353,-0.00017297,,,,,,,,
-284.2002563,-0.000174376,,,,,,,,
-333.0891724,-0.000173907,,,,,,,,
-283.1257935,-0.000175782,,,,,,,,
-332.014679,-0.000174376,,,,,,,,
-282.0513,-0.000175314,,,,,,,,
-330.9401855,-0.000173907,,,,,,,,
-280.9768066,-0.000174376,,,,,,,,
-329.8657227,-0.000174845,,,,,,,,
-279.9023438,-0.000175782,,,,,,,,
-328.7912292,-0.000174845,,,,,,,,
-278.8278503,-0.000177657,,,,,,,,
-327.7167358,-0.000173439,,,,,,,,
-277.7533569,-0.000177189,,,,,,,,
-326.6422729,-0.000173439,,,,,,,,
-276.678894,-0.000175782,,,,,,,,
-326.1050415,-0.000173439,,,,,,,,
-276.1416626,-0.00017672,,,,,,,,
-325.0305481,-0.000175314,,,,,,,,
-275.0671692,-0.000177189,,,,,,,,
-323.9560547,-0.000175314,,,,,,,,
-273.9926758,-0.000177189,,,,,,,,
-322.8815918,-0.000174845,,,,,,,,
-272.9182129,-0.00017672,,,,,,,,
-321.8070984,-0.000176251,,,,,,,,
-271.84375,-0.000176251,,,,,,,,
-320.732605,-0.000174376,,,,,,,,
-270.7692261,-0.000177189,,,,,,,,
-319.6581421,-0.000173439,,,,,,,,
-269.6947632,-0.000177657,,,,,,,,
-319.1209106,-0.00017672,,,,,,,,
-269.1575317,-0.000176251,,,,,,,,
-318.0464172,-0.000178595,,,,,,,,
-268.0830383,-0.000175314,,,,,,,,
-316.9719238,-0.000179064,,,,,,,,
-267.0085449,-0.000160313,,,,,,,,
-315.8974609,-0.000180001,,,,,,,,
-265.934082,-0.00016922,,,,,,,,
-314.8229675,-0.000181876,,,,,,,,
-264.8596191,-0.000170157,,,,,,,,
-313.7484741,-0.000182345,,,,,,,,
-263.7851257,-0.00016922,,,,,,,,
-312.6740112,-0.000183282,,,,,,,,
-262.7106323,-0.000168282,,,,,,,,
-312.1367798,-0.000185157,,,,,,,,
-262.1734009,-0.000167814,,,,,,,,
-311.0622864,-0.000187032,,,,,,,,
-261.098938,-0.000167814,,,,,,,,
-309.987793,-0.000187032,,,,,,,,
-260.0244141,-0.000166876,,,,,,,,
-308.9133301,-0.000188907,,,,,,,,
-258.9499512,-0.000166407,,,,,,,,
-307.8388672,-0.000191251,,,,,,,,
-257.8754883,-0.000165939,,,,,,,,
-306.7643433,-0.000190782,,,,,,,,
-256.8009949,-0.000165939,,,,,,,,
-305.6898804,-0.000194532,,,,,,,,
-255.7265167,-0.000163595,,,,,,,,
-305.1526489,-0.00019547,,,,,,,,
-255.18927,-0.000162188,,,,,,,,
-304.0781555,-0.000197345,,,,,,,,
-254.1147919,-0.000161251,,,,,,,,
-303.0036621,-0.000199689,,,,,,,,
-253.0403137,-0.000160782,,,,,,,,
-301.9291992,-0.000200157,,,,,,,,
-251.9658203,-0.000159845,,,,,,,,
-300.8547363,-0.00020297,,,,,,,,
-250.8913422,-0.000160313,,,,,,,,
-299.7802429,-0.000203439,,,,,,,,
-249.816864,-0.000159376,,,,,,,,
-298.7057495,-0.000206251,,,,,,,,
-248.7423859,-0.000157501,,,,,,,,
-298.1685181,-0.000207658,,,,,,,,
-248.2051392,-0.000156563,,,,,,,,
-297.0940552,-0.000209533,,,,,,,,
-247.130661,-0.000153282,,,,,,,,
-296.0195313,-0.000212345,,,,,,,,
-246.0561829,-0.000150938,,,,,,,,
-294.9450684,-0.000213751,,,,,,,,
-244.9817047,-0.000148126,,,,,,,,
-293.8706055,-0.000215158,,,,,,,,
-243.9072266,-0.000144376,,,,,,,,
-292.7961121,-0.000219376,,,,,,,,
-242.8327332,-0.00014297,,,,,,,,
-291.7216187,-0.000219376,,,,,,,,
-241.7582703,-0.00014297,,,,,,,,
-290.6471558,-0.000222658,,,,,,,,
-240.6837769,-0.000141095,,,,,,,,
-290.1099243,-0.000225939,,,,,,,,
-240.1465454,-0.000141095,,,,,,,,
-289.0354309,-0.000228283,,,,,,,,
-239.072052,-0.000138282,,,,,,,,
-287.9609375,-0.00022922,,,,,,,,
-237.9975586,-0.000136876,,,,,,,,
-286.8864746,-0.000231564,,,,,,,,
-236.9230957,-0.000135938,,,,,,,,
-285.8119812,-0.000234845,,,,,,,,
-235.8486023,-0.000133595,,,,,,,,
-284.7374878,-0.000239064,,,,,,,,
-234.7741394,-0.000132188,,,,,,,,
-283.6630249,-0.00024047,,,,,,,,
-233.699646,-0.000130313,,,,,,,,
-283.1257935,-0.000244689,,,,,,,,
-233.1624146,-0.000128438,,,,,,,,
-282.0513,-0.00024797,,,,,,,,
-232.0879211,-0.000126563,,,,,,,,
-280.9768066,-0.00024797,,,,,,,,
-231.0134583,-0.000124219,,,,,,,,
-279.9023438,-0.000253595,,,,,,,,
-229.9389648,-0.000121407,,,,,,,,
-278.8278503,-0.00025547,,,,,,,,
-228.8644714,-0.000120469,,,,,,,,
-277.7533569,-0.000261095,,,,,,,,
-227.7900085,-0.000117657,,,,,,,,
-276.678894,-0.000264377,,,,,,,,
-226.7155151,-0.000114844,,,,,,,,
-276.1416626,-0.000265314,,,,,,,,
-226.1782837,-0.000112032,,,,,,,,
-275.0671692,-0.000269064,,,,,,,,
-225.1037903,-0.000109688,,,,,,,,
-273.9926758,-0.000271408,,,,,,,,
-224.0293274,-0.000106876,,,,,,,,
-272.9182129,-0.000276095,,,,,,,,
-222.954834,-0.000104063,,,,,,,,
-271.84375,-0.000279377,,,,,,,,
-221.8803711,-0.000106407,,,,,,,,
-270.7692261,-0.00028172,,,,,,,,
-220.8058777,-0.000105469,,,,,,,,
-269.6947632,-0.000285939,,,,,,,,
-219.7313843,-0.000103594,,,,,,,,
-269.1575317,-0.000289689,,,,,,,,
-219.1941528,-0.000102188,,,,,,,,
-268.0830383,-0.000294377,,,,,,,,
-218.1196594,-9.98444E-05,,,,,,,,
-267.0085449,-0.000296721,,,,,,,,
-217.0451965,-9.84381E-05,,,,,,,,
-265.934082,-0.000298127,,,,,,,,
-215.9707031,-9.70318E-05,,,,,,,,
-264.8596191,-0.000302814,,,,,,,,
-214.8962402,-9.46881E-05,,,,,,,,
-263.7851257,-0.000305158,,,,,,,,
-213.8217468,-9.18756E-05,,,,,,,,
-262.7106323,-0.000309846,,,,,,,,
-212.7472534,-8.85943E-05,,,,,,,,
-261.6361694,-0.000314533,,,,,,,,
-211.6727905,-8.81255E-05,,,,,,,,
-261.098938,-0.000317346,,,,,,,,
-211.1355591,-8.39068E-05,,,,,,,,
-260.0244141,-0.000321096,,,,,,,,
-210.0610657,-8.29693E-05,,,,,,,,
-258.9499512,-0.000322971,,,,,,,,
-208.9865723,-8.1563E-05,,,,,,,,
-257.8754883,-0.000328596,,,,,,,,
-207.9121094,-7.87505E-05,,,,,,,,
-256.8009949,-0.000330002,,,,,,,,
-206.837616,-7.64067E-05,,,,,,,,
-255.7265167,-0.000334221,,,,,,,,
-205.7631531,-7.40629E-05,,,,,,,,
-254.6520233,-0.000339377,,,,,,,,
-204.6886597,-7.07817E-05,,,,,,,,
-254.1147919,-0.000343596,,,,,,,,
-204.1514282,-6.93754E-05,,,,,,,,
-253.0403137,-0.000347815,,,,,,,,
-203.0769348,-6.65629E-05,,,,,,,,
-251.9658203,-0.000347815,,,,,,,,
-202.0024414,-6.51566E-05,,,,,,,,
-250.8913422,-0.000352971,,,,,,,,
-200.9279785,-6.23441E-05,,,,,,,,
-249.816864,-0.000355783,,,,,,,,
-199.8534851,-6.04691E-05,,,,,,,,
-248.7423859,-0.000361877,,,,,,,,
-198.7790222,-5.67191E-05,,,,,,,,
-247.6679077,-0.000365158,,,,,,,,
-197.7045288,-5.48441E-05,,,,,,,,
-247.130661,-0.000369846,,,,,,,,
-197.1672974,-5.34378E-05,,,,,,,,
-246.0561829,-0.000374534,,,,,,,,
-196.092804,-4.96878E-05,,,,,,,,
-244.9817047,-0.000375471,,,,,,,,
-195.0183411,-4.82815E-05,,,,,,,,
-243.9072266,-0.00037969,,,,,,,,
-193.9438477,-4.5469E-05,,,,,,,,
-242.8327332,-0.000384846,,,,,,,,
-192.8693542,-4.40628E-05,,,,,,,,
-241.7582703,-0.000389534,,,,,,,,
-191.7948914,-4.1719E-05,,,,,,,,
-240.6837769,-0.000392815,,,,,,,,
-190.7203979,-3.84377E-05,,,,,,,,
-240.1465454,-0.000397034,,,,,,,,
-190.1831665,-3.56252E-05,,,,,,,,
-239.072052,-0.00040219,,,,,,,,
-189.1086731,-3.14064E-05,,,,,,,,
-237.9975586,-0.00040594,,,,,,,,
-188.0342102,-3.14064E-05,,,,,,,,
-236.9230957,-0.00040594,,,,,,,,
-186.9597168,-2.90627E-05,,,,,,,,
-235.8486023,-0.000410628,,,,,,,,
-185.8852234,-2.67189E-05,,,,,,,,
-234.7741394,-0.000416253,,,,,,,,
-184.8107605,-2.39064E-05,,,,,,,,
-233.699646,-0.000420471,,,,,,,,
-183.7362671,-2.29689E-05,,,,,,,,
-233.1624146,-0.000425159,,,,,,,,
-183.1990356,-1.96876E-05,,,,,,,,
-232.0879211,-0.000430315,,,,,,,,
-182.1245422,-1.64063E-05,,,,,,,,
-231.0134583,-0.000434065,,,,,,,,
-181.0500793,-1.45313E-05,,,,,,,,
-229.9389648,-0.000435003,,,,,,,,
-179.9755859,-1.40626E-05,,,,,,,,
-228.8644714,-0.000438753,,,,,,,,
-178.901123,-1.17188E-05,,,,,,,,
-227.7900085,-0.000442971,,,,,,,,
-177.8266296,-9.84381E-06,,,,,,,,
-226.7155151,-0.000447659,,,,,,,,
-176.7521362,-8.43755E-06,,,,,,,,
-225.6410522,-0.000450003,,,,,,,,
-175.6776733,-4.68753E-06,,,,,,,,
-225.1037903,-0.000457503,,,,,,,,
-175.1404419,-4.68753E-07,,,,,,,,
