N,X,Y,Z,Time,Jitter,Time Calculated,Sender
187,-1.025,0.006,0.007,1654115196.510051,-0.012305879592894087,1654115196.522357,20.0
188,-1.025,0.007,0.008,1654115196.714834,-0.007522916793824663,1654115196.7223568,20.0
189,-1.025,0.007,0.008,1654115196.919999,-0.0023580074310345367,1654115196.9223568,20.0
190,-1.025,0.007,0.007,1654115197.125281,0.002924203872680664,1654115197.122357,20.0
191,-1.025,0.007,0.008,1654115197.31335,-0.00900692939758585,1654115197.322357,20.0
192,-1.025,0.007,0.007,1654115197.502523,-0.019833946228033028,1654115197.522357,20.0
193,-1.025,0.006,0.008,1654115197.706362,-0.015994882583619585,1654115197.7223568,20.0
194,-1.025,0.007,0.007,1654115197.912407,-0.009949970245365591,1654115197.9223568,20.0
195,-1.025,0.007,0.008,1654115198.101264,-0.021092891693115234,1654115198.122357,20.0
196,-1.025,0.006,0.007,1654115198.317129,-0.005227994918826084,1654115198.322357,20.0
197,-1.025,0.007,0.007,1654115198.507494,-0.01486291885376545,1654115198.522357,20.0
198,-1.025,0.007,0.008,1654115198.712027,-0.010329818725587359,1654115198.7223568,20.0
199,-1.025,0.007,0.007,1654115198.926058,0.0037011623382525727,1654115198.9223568,20.0
200,-1.025,0.007,0.008,1654115199.184792,0.062435150146484375,1654115199.122357,20.0
201,-1.025,0.007,0.007,1654115199.326293,0.0039361000061006735,1654115199.322357,20.0
202,-1.025,0.007,0.007,1654115199.50072,-0.021636867523199044,1654115199.522357,20.0
203,-1.025,0.007,0.007,1654115199.704739,-0.01761779785156392,1654115199.7223568,20.0
204,-1.025,0.006,0.007,1654115199.910187,-0.01216988563538024,1654115199.9223568,20.0
205,-1.025,0.007,0.007,1654115200.147519,0.025162220001220703,1654115200.122357,20.0
206,-1.025,0.007,0.007,1654115200.306564,-0.015792798995974522,1654115200.322357,20.0
207,-1.025,0.007,0.007,1654115200.512564,-0.009792947769170723,1654115200.522357,20.0
208,-1.025,0.007,0.007,1654115200.717563,-0.004793977737428179,1654115200.7223568,20.0
209,-1.025,0.007,0.008,1654115200.921974,-0.00038294792175719294,1654115200.9223568,20.0
210,-1.025,0.007,0.007,1654115201.128545,0.006188154220581055,1654115201.122357,20.0
211,-1.025,0.007,0.007,1654115201.301936,-0.020420980453494053,1654115201.322357,20.0
212,-1.025,0.007,0.007,1654115201.50781,-0.014546775817876778,1654115201.522357,20.0
213,-1.025,0.007,0.008,1654115201.893402,0.1710452079772935,1654115201.7223568,20.0
214,-1.025,0.007,0.007,1654115201.909041,-0.01331596374512145,1654115201.9223568,20.0
215,-1.025,0.006,0.007,1654115202.111408,-0.010948896408081055,1654115202.122357,20.0
216,-1.025,0.007,0.007,1654115202.315486,-0.0068709373474149515,1654115202.322357,20.0
217,-1.025,0.006,0.007,1654115202.520641,-0.001715803146367989,1654115202.522357,20.0
218,-1.025,0.007,0.007,1654115202.720609,-0.0017479419708266164,1654115202.7223568,20.0
219,-1.025,0.007,0.007,1654115202.925837,0.0034801483154254242,1654115202.9223568,20.0
220,-1.025,0.006,0.007,1654115203.759027,0.6366701126098633,1654115203.122357,20.0
221,-1.025,0.007,0.007,1654115203.759027,0.43667011260986044,1654115203.322357,20.0
222,-1.025,0.007,0.007,1654115203.759027,0.2366701126098576,1654115203.522357,20.0
223,-1.025,0.007,0.007,1654115203.759027,0.03667011260986186,1654115203.7223568,20.0
224,-1.025,0.007,0.007,1654115203.931894,0.00953717231750062,1654115203.9223568,20.0
225,-1.025,0.007,0.007,1654115204.121425,-0.0009319782257080078,1654115204.122357,20.0
226,-1.025,0.007,0.007,1654115204.325628,0.0032711505889864156,1654115204.322357,20.0
227,-1.025,0.007,0.007,1654115204.514703,-0.007653856277471505,1654115204.522357,20.0
228,-1.025,0.007,0.007,1654115204.719576,-0.0027810096740736867,1654115204.7223568,20.0
